The simulation ran with the following values

Seed:                            100
Initial Time:                      0
Finish Time:                   10000
Arrival Window Minimum:            5
Arrival Window Maximum:           20
Quit Probability (out of 100):    20
CPU Processing Minimum:            2
CPU Processing Maximum:           12
DISK1 Time Minimum:               25
DISK1 Time Maximum:               50
DISK2 Time Minimum:               20
DISK2 Time Maximum:               40


at time 0 process START is STARTING SIMULATION

at time 13 process 1 is arriving at CPU queue

at time 13 process 1 is entering CPU

at time 15 process 1 is leaving CPU

at time 15 process 1 is entering DISK1

at time 23 process 2 is arriving at CPU queue

at time 23 process 2 is entering CPU

at time 27 process 2 is leaving CPU

at time 27 process 2 is entering DISK2

at time 35 process 3 is arriving at CPU queue

at time 35 process 3 is entering CPU

at time 43 process 4 is arriving at CPU queue

at time 46 process 3 is leaving CPU

at time 46 process 3 is leaving simulation

at time 46 process 4 is entering CPU

at time 52 process 5 is arriving at CPU queue

at time 54 process 4 is leaving CPU

at time 54 process 4 is leaving simulation

at time 54 process 5 is entering CPU

at time 56 process 1 is leaving DISK1

at time 59 process 5 is leaving CPU

at time 59 process 5 is entering DISK1

at time 59 process 1 is entering CPU

at time 59 process 6 is arriving at CPU queue

at time 63 process 2 is leaving DISK2

at time 67 process 1 is leaving CPU

at time 67 process 1 is entering DISK2

at time 67 process 6 is entering CPU

at time 69 process 6 is leaving CPU

at time 69 process 2 is entering CPU

at time 76 process 2 is leaving CPU

at time 78 process 7 is arriving at CPU queue

at time 78 process 7 is entering CPU

at time 84 process 8 is arriving at CPU queue

at time 89 process 7 is leaving CPU

at time 89 process 7 is leaving simulation

at time 89 process 8 is entering CPU

at time 101 process 8 is leaving CPU

at time 101 process 9 is arriving at CPU queue

at time 101 process 9 is entering CPU

at time 103 process 1 is leaving DISK2

at time 103 process 2 is entering DISK2

at time 105 process 9 is leaving CPU

at time 105 process 1 is entering CPU

at time 106 process 5 is leaving DISK1

at time 106 process 6 is entering DISK1

at time 110 process 1 is leaving CPU

at time 110 process 5 is entering CPU

at time 111 process 10 is arriving at CPU queue

at time 122 process 5 is leaving CPU

at time 122 process 5 is leaving simulation

at time 122 process 10 is entering CPU

at time 125 process 10 is leaving CPU

at time 125 process 10 is leaving simulation

at time 128 process 11 is arriving at CPU queue

at time 128 process 11 is entering CPU

at time 136 process 11 is leaving CPU

at time 138 process 2 is leaving DISK2

at time 138 process 2 is entering CPU

at time 138 process 9 is entering DISK2

at time 140 process 12 is arriving at CPU queue

at time 147 process 6 is leaving DISK1

at time 147 process 8 is entering DISK1

at time 150 process 2 is leaving CPU

at time 150 process 12 is entering CPU

at time 156 process 13 is arriving at CPU queue

at time 157 process 12 is leaving CPU

at time 157 process 6 is entering CPU

at time 167 process 6 is leaving CPU

at time 167 process 13 is entering CPU

at time 169 process 14 is arriving at CPU queue

at time 174 process 15 is arriving at CPU queue

at time 175 process 13 is leaving CPU

at time 175 process 14 is entering CPU

at time 175 process 9 is leaving DISK2

at time 175 process 11 is entering DISK2

at time 181 process 14 is leaving CPU

at time 181 process 15 is entering CPU

at time 187 process 15 is leaving CPU

at time 187 process 15 is leaving simulation

at time 187 process 9 is entering CPU

at time 194 process 16 is arriving at CPU queue

at time 196 process 8 is leaving DISK1

at time 196 process 1 is entering DISK1

at time 198 process 9 is leaving CPU

at time 198 process 16 is entering CPU

at time 206 process 16 is leaving CPU

at time 206 process 8 is entering CPU

at time 209 process 11 is leaving DISK2

